"fid";"count"
12400765;5
12402029;3
12406214;1
12409878;1
12412638;2
12415713;6
12416412;107
12423850;5
12431707;79
12434375;149
12451668;48
12457734;40
12460228;104
12603129;5
12613670;170
12614995;18
12616096;14
12617233;29
12627653;6
12632209;43
12632563;4
12633145;2
12633646;75
12706233;3
12706613;11
12712340;5
12713285;48
12714037;15
12714800;3
12716335;106
12716374;42
12719789;36
12721977;10
12724275;2
12800176;67
12801454;113
12801556;73
12801756;16
12802406;121
12802530;1
12804958;4
12807578;120
12809507;112
12810694;12
12813158;288
12820955;531
12821616;8
12931570;8
13000719;86
13001574;346
13005379;15
13300759;5
13300924;170
13300930;116
13302034;15
13302146;5
13601948;28
13603843;13
13609378;12
13615109;1
13701199;4
13704428;36
13718234;111
13729488;142
13730168;94
13730365;48
13731448;5
13733054;94
13733778;3
13735421;6
13736734;10
13744440;32
13746125;12
13747239;172
13747985;158
13748666;66
13749213;92
13749344;4
13750890;76
13751039;5
13752134;11
13756730;6
13756829;8
13800114;1
13802737;9
13809333;44
13809673;25
13901559;89
13915001;102
13956456;40
13963434;8
14000464;59
14000568;28
14004653;1
14004685;6
14005148;11
14101138;52
14103655;15
14203032;1
14206359;57
14212570;10
14213788;64
14218465;223
14222390;52
14227039;1
14229318;79
14230437;128
14302335;6
14303034;48
14304707;84
14309829;215
14317229;29
14401561;28
14500595;116
14502326;2
14502685;54
14800419;159
14803349;122
14806800;31
14809634;25
14815921;69
14816790;6
14817412;44
14817810;10
14818545;10
14824266;407
14830840;10
14831818;7
14832922;4
14833994;2
14902974;35
14903334;4
15100442;108
15100490;5
15100597;2
15100736;200
15101598;282
15103124;167
15103272;264
15103329;104
15103510;475
15104547;64
15104797;9
15104842;24
15107682;5
15108579;244
15201199;11
15204458;148
15206268;11
15207458;1
15304316;159
15400660;2
15501370;59
15505324;4
15506609;2
15600232;7
15601084;13
15601111;1
15603706;114
15604036;1
15607342;4
15610834;128
15611935;71
15617080;78
15619156;15
15619740;66
15700159;1
15700618;119
15701000;163
15701410;81
15701829;52
15703256;52
15704878;126
15707407;145
15713517;16
15715923;330
15721320;1
15722813;15
15723741;61
15900368;3
15905623;158
15920423;21
16001301;80
16004856;1
16004982;74
16101052;54
16106693;9
16109963;2
16116346;105
16117285;19
16118518;58
16203084;1
16206481;14
16301150;127
16301790;4
16311534;98
16313062;4
16314237;38
16316261;3
16316772;102
16320114;14
16401797;11
16404942;8
16404979;26
16410885;75
16500372;113
16500606;25
16502612;9
16603631;51
16603750;1
16603889;2
16700836;29
16705587;953
16711835;1
16717588;3
16717647;260
16717716;10
16719291;87
16723614;7
16729615;7
16734601;1
16735390;153
16736591;12
16736859;10
16800778;58
16800967;26
16801474;32
16801946;2
16804986;103
16808965;108
16813642;6
16818991;28
16820312;99
16833970;17
16902186;98
16902633;10
16903662;38
16909355;9
16928120;41
17007193;29
17011361;12
17101921;67
17102686;192
17107507;17
17113117;54
17116331;38
17117140;11
17127227;99
17128402;122
17128663;247
17129200;99
17202245;5
17210857;74
17221187;2
17300887;35
17302328;109
17403004;7
17403120;3
17500027;226
17502382;71
17503374;3
17503495;137
17504544;86
17505472;16
17506859;199
17507195;3
17800644;4
17801808;116
17808584;84
17814298;9
17814392;187
17817688;154
17820804;147
17820907;132
17820929;4
17822474;147
17824369;87
17824559;188
17824949;222
17826135;33
17827363;105
17830855;19
17832472;5
17901275;64
17903263;8
18002655;27
18100994;6
18102409;419
18107034;1
18107634;81
18208007;23
18208231;21
18302424;209
18304547;1
18305218;401
18418771;35
18419146;17
18500748;1
18504424;26
18506215;4
18506267;30
18506325;5
18506577;39
18600691;32
18605715;13
18606693;3
18700502;5
18705937;2
18707119;17
18714323;5
18715775;398
18720095;3
18720386;4
18721191;56
18723868;359
18724126;1
18724136;21
18724401;9
18724689;15
18807831;67
18813517;22
18900656;365
18900874;6
18901486;16
18901931;112
18902128;96
18902176;31
18902405;97
18903381;9
18904452;1
18915305;70
19001654;1
19002711;15
19100832;103
19203879;494
19209886;10
19217092;48
19217483;4
19217676;436
19226037;49
19226429;112
19301144;763
19302458;4
19502916;97
19510518;6
19511548;152
19511658;4
19600088;2
19601644;2
19601781;159
19605980;137
19607138;16
19607953;9
19710990;5
19713235;474
19714314;13
19718094;398
19718937;103
19719037;50
19802603;87
19802707;84
19902331;22
19902480;2
19904588;70
19908954;7
19909384;66
19910127;229
19910880;3
19912471;31
20001715;3
20002278;20
20004245;392
20008696;30
20101699;7
20200587;2
20403007;1
20403594;89
20405524;4
20503554;2
20602519;31
20609308;181
20705045;1
20715040;1
20723788;388
20901818;5
20910410;2
20914288;4
21013957;11
21200601;69
21204640;101
21204974;85
21405022;62
21500764;136
21602088;8
21603016;29
21603706;3
21715794;326
21719291;9
21719841;23
21724744;63
21726376;9
21803932;1
21806662;3
21900979;15
21905917;4
21907590;27
21910416;136
21910974;1
22006651;171
22008921;11
22012463;13
22103765;17
22104038;10
22216182;57
22300739;13
22302078;23
22400331;377
22400616;7
22405959;38
22407835;18
22414668;21
22418115;3
22422541;11
22425515;1
22607355;10
22610622;44
22611483;5
22614654;56
22614882;6
22615811;4
22616587;633
22619516;141
22800791;27
22807440;3
22807729;4
22902350;5
22904730;27
22905585;4
22906159;2
22907398;3
22918708;12
22919288;5
23000690;95
23001519;1
23005351;13
23100206;263
23100210;20
23102658;47
23104649;105
23116441;6
23201807;3
23202805;3
23204173;86
23207959;56
23216463;58
23300182;131
23300410;6
23314349;61
23322426;42
23405938;19
23407242;1
23417728;73
23419230;5
23507972;626
23606059;59
23700168;5
23703497;28
23708055;12
23800508;56
23900524;922
23900695;402
23901541;424
23904715;11
23905138;77
23906467;4
23910942;11
23914822;13
23915630;1
23921563;164
23922457;40
23924448;8
23924735;2
23928600;6
23929279;188
23929412;41
23930863;107
23931116;73
23931162;70
23931312;414
23931459;269
24100055;1
24201127;84
24205859;35
24208627;16
24209028;78
24401985;1
24402437;6
24402536;69
24403396;30
24405576;3
24406571;1
24407584;96
24407623;36
24407671;52
24412963;347
24413491;1
24413613;175
24414535;147
24415155;32
24416145;166
24506584;71
24506815;3
24600019;14
24605793;36
24606358;78
24607002;5
24607715;7
24608301;113
24611719;199
24613005;5
24615038;6
24615327;11
24615698;10
24704837;682
24805891;7
24807453;1
24808093;20
24904432;1
25000672;117
25100484;706
25102459;9
25102623;23
25106178;51
25109626;30
25111398;116
25204927;11
25205099;96
25300968;211
25306387;53
25311031;135
25313171;8
25317082;54
25403234;12
25403887;339
25410280;205
25410696;77
25412532;3
25416327;2
25418068;259
25418942;224
25421750;89
25421919;123
25422279;127
25422606;29
25505418;3
25518190;4
25518672;157
25520123;46
25521666;17
25703720;8
25707512;6
25717199;6
25800387;1
25807204;40
25818068;5
25818244;44
25819104;72
25819118;52
25827634;8
25830013;145
25830946;13
25830955;59
25900644;1
25903567;71
25905651;17
25906831;4
25908787;223
25911666;66
25912637;53
26101794;6
26101929;225
26106759;133
26110033;87
26111121;90
26111486;134
26113030;94
26200264;1
26201954;465
26204190;4
26208036;56
26208305;308
26208798;190
26300771;171
26300999;19
26302213;118
26302281;99
26305379;93
26306634;5
26309966;9
26310496;98
26310556;6
26510696;54
26607192;18
26706035;146
26711178;2
26716734;27
26720646;66
26723768;29
26725683;19
26800138;250
26801923;4
26804626;7
26902771;173
27102035;258
27200200;61
27200992;61
27202592;7
27213284;19
27222745;153
27307445;119
27313133;36
27400312;1
27403706;20
27404346;15
27405469;99
27430098;29
27432353;1
27432511;144
27433395;31
27434568;75
27605576;5
27606069;10
27609060;37
27612157;10
27614647;1
27616166;133
27616785;1
27618414;180
27712057;149
27800402;14
27800720;4
27802324;25
27803220;47
27905504;5
28000386;7
28002137;5
28002718;8
28004653;5
28004734;10
28005021;228
28005272;41
28005444;47
28108870;152
28122690;97
28127025;1
28129723;3
28134460;1
28201307;68
28301419;102
28302912;89
28401813;2
28402387;6
28406736;3
28406949;44
28408064;5
28408295;4
28409740;216
28409759;378
28500242;143
28503477;23
28803287;4
28805788;370
28806127;85
28901142;1
29003884;56
29006897;129
29008596;24
29301883;172
29304028;64
29402137;103
29600298;23
29601405;97
29601457;12
29602599;37
29606466;9
29606529;142
29613097;1
29618271;7
29624392;3
29624868;350
29624984;154
29625448;12
29626117;38
29627187;39
29628209;15
29628281;290
29900594;8
29900901;189
29901334;34
29905716;5
29907308;273
29908172;46
29908461;106
29909553;45
29910094;80
29910942;1
29911322;2
30102703;5
30110289;147
30118579;7
