"fid";"count"
873380160;812
875405084;164
875515057;458
876825061;34
877745122;629
879470340;343
881320696;703
885205586;370
885955003;2265
887820374;714
889030402;834
891390216;841
891565178;161
892190625;194
892570240;1089
893070426;2014
893925005;451
893945507;273
898470331;102
900045435;397
901890166;802
905860116;96
1000054292;315
1000225810;1055
1000520766;206
1001042193;655
1002314979;570
1002440662;985
1002685792;223
1003028487;214
1003440176;94
1003935703;360
1004333133;566
1005120652;363
1005122041;1171
1005243356;379
1005499816;651
1006058389;236
1006170660;951
1007049623;123
1007083192;28
1008086372;119
1008231881;173
1009890053;1219
1010587917;160
1012032934;204
1012361988;265
1012843110;174
1013245094;335
1014682137;219
1015292094;350
1015390194;783
1016002327;305
1016834512;1045
1016876969;1439
1017064439;980
1018260205;293
1018653180;259
1018677518;648
1018955072;195
1019931179;741
1020250278;140
1021789068;45
1021864653;539
1021906668;198
1022163529;246
1023180329;73
1023643201;335
1024293608;775
1024698385;1092
1025524648;105
1026274665;169
1026613922;130
1026780008;1370
1027346034;316
1028095905;94
1028613181;291
1028643601;875
1028716309;121
1029199084;215
1029883573;1889
1030194475;192
1030337648;2989
1030598612;420
1030635216;2650
1032991689;774
1033189808;2241
1033620003;619
1035525134;382
1036019169;294
1036590026;221
1036741238;480
1037128551;232
1038169844;583
1038552760;878
1041448238;417
1041512079;1326
1042072202;687
1042131066;555
1042483441;234
1042485626;816
1042650034;427
1042926814;270
1043033665;777
1043132987;337
1044621692;120
1044699397;890
1045180022;634
1045440070;601
1045777133;176
1045920015;114
1046734824;474
1047584245;498
1048080962;264
1048181351;329
1049580586;163
1049750956;569
1050000350;294
1050053393;189
1050955321;102
1051400233;565
1051892628;126
1053919657;117
1054201048;17
1055640113;998
1057105161;89
1057178048;736
1058210581;75
1058866884;400
1059106556;456
1059625282;902
1059681406;221
1059696061;1396
1060270022;147
1060517186;576
1060758166;532
1060853122;1109
1061027865;261
1061447544;670
1062872969;121
1062930317;249
1063492809;84
1063793005;437
1064337527;131
1064400014;155
1064972035;456
1065300111;582
1065307895;365
1065414088;896
1066740481;650
1067370026;421
1068481381;424
1068970006;277
1069047980;150
1069080021;408
1070025750;143
1070238631;215
1070371448;352
1070645779;190
1070838598;776
1071000869;550
1072076241;171
1072530504;158
1073187246;239
1073914554;284
1073918877;78
1074226935;792
1074577121;132
1075367984;704
1075543648;274
1075972085;86
1076206794;165
1078723749;332
1078803194;1664
1078990925;552
1079794130;238
1079890632;473
1080048184;450
1080990058;937
1081042229;741
1081284310;537
1082580003;425
1083300376;238
1083544212;311
1084145165;476
1084260286;69
1084440145;347
1084960056;331
1085131990;74
1085634572;232
1086931263;396
1087140153;137
1088385085;744
1088490094;589
1088565812;81
1088880413;1132
1089337029;254
1089669643;123
1089834115;212
